               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11651,            0.019031,            0.029666,           0.0030193,             0.90476,           0.0049743,           0.0018213,            0.083136,            0.011654,            0.019175,              0.0919,              0.0009,              0.0009
                   1,            0.092372,            0.022621,            0.027805,           0.0032756,             0.97619,            0.011411,           0.0036659,            0.059923,            0.012855,            0.016725,            0.082869,           0.0018687,           0.0018687
                   2,            0.081427,            0.024822,            0.027243,            0.063799,             0.53571,            0.091259,            0.025213,            0.045482,            0.012747,            0.015656,            0.073804,           0.0028043,           0.0028043
                   3,            0.072306,             0.02518,            0.026761,             0.12509,             0.21667,             0.14533,            0.049382,            0.042692,            0.012109,            0.014815,            0.064707,           0.0037069,           0.0037069
                   4,            0.065641,            0.026353,            0.026281,             0.28191,             0.33929,             0.28616,             0.10635,            0.044855,            0.011203,            0.015874,            0.055577,           0.0045766,           0.0045766
                   5,            0.064775,            0.025419,            0.024769,             0.32786,             0.41296,             0.38776,             0.15766,            0.035574,            0.011013,            0.015304,            0.046413,           0.0054133,           0.0054133
                   6,            0.060717,            0.023012,            0.021528,             0.21236,              0.3881,             0.26055,            0.096092,            0.039436,             0.01107,            0.015505,            0.037217,           0.0062169,           0.0062169
                   7,            0.059538,            0.021431,            0.021175,             0.22034,             0.34048,             0.25446,            0.095201,            0.041694,            0.010517,            0.014403,            0.027988,           0.0069876,           0.0069876
                   8,            0.058601,            0.020991,            0.020045,             0.28398,             0.46429,             0.31042,              0.1382,            0.037434,           0.0092298,            0.012232,            0.018725,           0.0077252,           0.0077252
                   9,             0.05637,            0.020028,            0.019031,             0.11683,             0.24643,             0.12018,            0.040036,            0.038618,           0.0090075,            0.016618,           0.0094298,           0.0084298,           0.0084298
                  10,            0.052947,            0.020429,            0.018645,             0.20132,             0.36214,             0.23645,            0.079006,            0.038196,           0.0082897,            0.015509,             0.00835,             0.00835,             0.00835
                  11,            0.055272,             0.02082,             0.01804,              0.1908,             0.34048,             0.22895,             0.10065,            0.039721,           0.0079775,            0.012611,             0.00835,             0.00835,             0.00835
                  12,            0.046564,            0.018814,            0.015215,             0.29874,              0.4119,              0.3112,              0.1365,            0.036955,           0.0080011,             0.01139,            0.008185,            0.008185,            0.008185
                  13,            0.050305,            0.019531,            0.015718,             0.51625,             0.49325,              0.4634,             0.19361,            0.032121,           0.0077644,           0.0099754,             0.00802,             0.00802,             0.00802
                  14,            0.052279,            0.019011,            0.014727,             0.31837,             0.52049,             0.32638,             0.14705,            0.035344,           0.0076166,           0.0095099,            0.007855,            0.007855,            0.007855
                  15,             0.05039,            0.019985,            0.018221,              0.5258,              0.5631,             0.47642,             0.17986,            0.027096,           0.0074154,            0.010142,             0.00769,             0.00769,             0.00769
                  16,            0.042696,            0.019739,            0.013168,             0.56586,             0.73214,             0.50766,              0.2074,             0.02737,           0.0070782,           0.0081959,            0.007525,            0.007525,            0.007525
                  17,            0.049216,            0.019837,            0.014705,             0.47602,             0.70714,             0.44384,             0.21056,            0.028747,           0.0071648,           0.0075512,             0.00736,             0.00736,             0.00736
                  18,            0.045311,            0.018738,             0.01244,             0.50757,             0.63452,             0.49287,              0.2443,            0.028167,            0.006632,           0.0071302,            0.007195,            0.007195,            0.007195
                  19,            0.043268,            0.019169,            0.014556,              0.6373,             0.55952,             0.58574,             0.24341,            0.029858,           0.0063615,           0.0064455,             0.00703,             0.00703,             0.00703
                  20,            0.045788,            0.019544,            0.011858,             0.56876,             0.54063,             0.55823,             0.25138,            0.024654,           0.0065838,           0.0063967,            0.006865,            0.006865,            0.006865
                  21,            0.042495,             0.01854,            0.018387,             0.71929,             0.65562,             0.66921,             0.37289,            0.022872,           0.0063393,            0.010389,              0.0067,              0.0067,              0.0067
                  22,            0.044295,            0.017665,            0.013149,             0.65063,             0.74242,             0.68609,             0.34469,            0.025236,           0.0059751,           0.0099967,            0.006535,            0.006535,            0.006535
                  23,            0.043589,            0.019659,            0.012318,             0.75489,              0.7232,             0.77855,             0.38757,            0.024854,           0.0057667,            0.012192,             0.00637,             0.00637,             0.00637
                  24,            0.043455,            0.019302,            0.011049,             0.61758,             0.78019,             0.74482,              0.3342,            0.025303,           0.0058813,            0.011478,            0.006205,            0.006205,            0.006205
                  25,            0.039996,            0.018247,            0.011307,             0.81068,             0.70714,             0.79767,             0.38384,            0.025048,           0.0057601,           0.0090988,             0.00604,             0.00604,             0.00604
                  26,            0.038346,            0.017982,            0.010793,             0.83611,             0.73003,             0.81124,              0.3729,            0.022934,           0.0058825,           0.0076911,            0.005875,            0.005875,            0.005875
                  27,            0.043494,            0.017578,             0.01102,             0.59884,             0.84655,             0.77574,             0.39576,            0.023269,           0.0058108,           0.0056851,             0.00571,             0.00571,             0.00571
                  28,            0.039944,            0.017727,            0.010813,             0.80727,             0.66748,             0.78584,             0.38295,            0.027279,            0.005919,           0.0065054,            0.005545,            0.005545,            0.005545
                  29,            0.040362,            0.017252,            0.012555,             0.62568,             0.77738,             0.74238,             0.36736,            0.025636,           0.0057081,           0.0077092,             0.00538,             0.00538,             0.00538
                  30,            0.039211,            0.016057,            0.010097,             0.65642,              0.7233,             0.69013,             0.38125,            0.025363,           0.0056898,           0.0074832,            0.005215,            0.005215,            0.005215
                  31,            0.038678,            0.017094,            0.010368,             0.77193,             0.71773,             0.75893,             0.39903,            0.024414,           0.0057794,           0.0065514,             0.00505,             0.00505,             0.00505
                  32,            0.034898,            0.016368,           0.0093079,             0.83126,             0.71141,             0.78147,             0.39477,             0.02454,           0.0059099,           0.0096137,            0.004885,            0.004885,            0.004885
                  33,            0.037397,            0.016576,            0.010183,             0.67171,             0.70742,              0.7255,             0.39584,            0.023814,           0.0056349,            0.011981,             0.00472,             0.00472,             0.00472
                  34,            0.039389,            0.016689,            0.010894,             0.77264,             0.62433,             0.72637,             0.39809,            0.022991,           0.0055715,           0.0095564,            0.004555,            0.004555,            0.004555
                  35,             0.03741,            0.016214,           0.0086795,             0.80155,             0.70714,              0.7647,             0.39869,            0.028196,           0.0054775,           0.0063855,             0.00439,             0.00439,             0.00439
                  36,            0.034205,             0.01603,           0.0083003,             0.73635,             0.64977,             0.72048,             0.40472,            0.023109,           0.0055206,           0.0095441,            0.004225,            0.004225,            0.004225
                  37,            0.034467,            0.016502,           0.0094114,              0.6383,              0.6441,             0.68842,             0.40418,             0.02263,            0.005586,            0.017002,             0.00406,             0.00406,             0.00406
                  38,            0.036237,            0.016964,           0.0086287,             0.63147,             0.73571,             0.73019,             0.43404,            0.021125,           0.0056345,            0.017531,            0.003895,            0.003895,            0.003895
                  39,            0.034836,            0.016656,           0.0093207,             0.68156,             0.68571,             0.70922,             0.41679,            0.021792,           0.0055522,            0.017899,             0.00373,             0.00373,             0.00373
                  40,            0.032275,            0.016667,           0.0068941,             0.74553,              0.6619,             0.73547,             0.43115,            0.020975,           0.0056019,            0.015031,            0.003565,            0.003565,            0.003565
                  41,            0.034009,             0.01632,           0.0082036,             0.72884,             0.69277,             0.75677,             0.41128,            0.021089,           0.0059333,            0.013465,              0.0034,              0.0034,              0.0034
                  42,            0.031957,            0.015788,           0.0093258,             0.64015,             0.73452,             0.73972,             0.40135,            0.021589,           0.0059295,            0.013384,            0.003235,            0.003235,            0.003235
                  43,            0.033231,            0.016627,           0.0080564,             0.70623,             0.87857,             0.78192,             0.44623,            0.021914,           0.0057853,           0.0054205,             0.00307,             0.00307,             0.00307
                  44,            0.031441,            0.016942,           0.0080105,             0.80983,             0.82119,             0.83895,             0.49359,            0.020245,           0.0057315,           0.0038593,            0.002905,            0.002905,            0.002905
                  45,             0.02937,            0.015211,           0.0081691,             0.84616,             0.85357,             0.85666,             0.49288,            0.019902,           0.0056104,           0.0034444,             0.00274,             0.00274,             0.00274
                  46,            0.032992,            0.015712,           0.0066328,             0.84719,             0.80476,             0.83863,             0.48266,            0.019783,           0.0054205,           0.0036076,            0.002575,            0.002575,            0.002575
                  47,            0.032097,            0.016398,            0.008527,             0.79718,             0.78095,             0.81369,             0.47535,            0.019736,           0.0053651,           0.0038349,             0.00241,             0.00241,             0.00241
                  48,            0.031344,             0.01719,           0.0051845,             0.78918,             0.79739,             0.81564,             0.47264,            0.018814,           0.0053892,           0.0041766,            0.002245,            0.002245,            0.002245
                  49,            0.029831,            0.015699,           0.0092936,             0.85563,             0.80595,             0.81143,             0.46864,            0.019357,           0.0054958,           0.0052688,             0.00208,             0.00208,             0.00208
                  50,            0.029086,            0.015279,           0.0053219,             0.82111,             0.78214,             0.81083,             0.48581,            0.018801,           0.0055005,           0.0059995,            0.001915,            0.001915,            0.001915
                  51,            0.031491,            0.015116,           0.0086356,             0.72095,              0.7791,              0.8122,             0.48387,            0.018412,           0.0054695,           0.0078196,             0.00175,             0.00175,             0.00175
                  52,            0.030596,            0.015548,           0.0048359,             0.82367,             0.78214,             0.81371,             0.48463,            0.018108,           0.0055397,            0.006425,            0.001585,            0.001585,            0.001585
                  53,            0.029412,             0.01512,           0.0074673,             0.80531,             0.79425,             0.83133,             0.48702,            0.018424,           0.0055422,            0.005942,             0.00142,             0.00142,             0.00142
                  54,            0.025457,            0.015563,           0.0064929,             0.79032,             0.80392,             0.83631,             0.48679,            0.018476,           0.0055476,           0.0068562,            0.001255,            0.001255,            0.001255
                  55,            0.031252,            0.015476,           0.0082006,             0.84839,             0.76557,              0.8443,             0.50596,            0.018317,           0.0056379,           0.0059099,             0.00109,             0.00109,             0.00109
                  56,            0.028722,            0.015066,           0.0051662,             0.87732,             0.76069,             0.84473,             0.49979,            0.018171,           0.0056633,           0.0056262,            0.000925,            0.000925,            0.000925
                  57,            0.026882,            0.014546,           0.0060076,              0.8942,             0.73077,             0.84455,             0.50346,            0.018102,           0.0056735,           0.0052982,             0.00076,             0.00076,             0.00076
                  58,            0.028134,            0.014819,           0.0054885,              0.8614,             0.75714,             0.84527,             0.52267,            0.017742,           0.0056019,           0.0052396,            0.000595,            0.000595,            0.000595
                  59,            0.025425,            0.015451,           0.0044408,             0.71701,             0.83748,             0.83971,             0.52221,            0.017285,           0.0055498,           0.0055844,             0.00043,             0.00043,             0.00043
